"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"2531.600000023842","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","2536","0.0-0.0","1","0pu18xqt8ws6","21","女性","","","","","",""
"","","","instruction","fullscreen","1","6173","0.0-1.0","1","0pu18xqt8ws6","21","女性","true","","","","",""
"3969.5","","{""age"":21}","par_info","survey-text","2","10148","0.0-2.0-0.0","1","0pu18xqt8ws6","21","女性","","","","","",""
"1825.3000000715256","","{""sex"":""女性""}","par_info","survey-multi-choice","3","11975","0.0-2.0-1.0","1","0pu18xqt8ws6","21","女性","","[0]","","","",""
"","","","","call-function","4","11979","0.0-3.0-0.0","1","0pu18xqt8ws6","21","女性","","","","","",""
"40558.200000047684","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","5","52539","0.0-3.0-1.0","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","","null","","html-keyboard-response","6","53044","0.0-3.0-2.0-0.0","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","7","53547","0.0-3.0-2.0-1.0","1","0pu18xqt8ws6","21","女性","","","","","",""
"646.2999999523163","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","8","54195","0.0-3.0-2.0-2.0","1","0pu18xqt8ws6","21","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","9","54700","0.0-3.0-2.0-0.1","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","10","55206","0.0-3.0-2.0-1.1","1","0pu18xqt8ws6","21","女性","","","","","",""
"1643.8999999761581","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","11","56851","0.0-3.0-2.0-2.1","1","0pu18xqt8ws6","21","女性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","12","57356","0.0-3.0-2.0-0.2","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","13","57857","0.0-3.0-2.0-1.2","1","0pu18xqt8ws6","21","女性","","","","","",""
"600.8000000715256","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","14","58459","0.0-3.0-2.0-2.2","1","0pu18xqt8ws6","21","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","15","58962","0.0-3.0-2.0-0.3","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","16","59466","0.0-3.0-2.0-1.3","1","0pu18xqt8ws6","21","女性","","","","","",""
"616","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","17","60082","0.0-3.0-2.0-2.3","1","0pu18xqt8ws6","21","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","18","60587","0.0-3.0-2.0-0.4","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","19","61089","0.0-3.0-2.0-1.4","1","0pu18xqt8ws6","21","女性","","","","","",""
"729.5","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","20","61819","0.0-3.0-2.0-2.4","1","0pu18xqt8ws6","21","女性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","21","62324","0.0-3.0-2.0-0.5","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","22","62830","0.0-3.0-2.0-1.5","1","0pu18xqt8ws6","21","女性","","","","","",""
"620.6000000238419","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","23","63452","0.0-3.0-2.0-2.5","1","0pu18xqt8ws6","21","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","24","63957","0.0-3.0-2.0-0.6","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","25","64458","0.0-3.0-2.0-1.6","1","0pu18xqt8ws6","21","女性","","","","","",""
"800.1999999284744","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","26","65259","0.0-3.0-2.0-2.6","1","0pu18xqt8ws6","21","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","27","65764","0.0-3.0-2.0-0.7","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","28","66270","0.0-3.0-2.0-1.7","1","0pu18xqt8ws6","21","女性","","","","","",""
"548.5","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","29","66819","0.0-3.0-2.0-2.7","1","0pu18xqt8ws6","21","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","30","67324","0.0-3.0-2.0-0.8","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","31","67825","0.0-3.0-2.0-1.8","1","0pu18xqt8ws6","21","女性","","","","","",""
"489.10000002384186","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","32","68315","0.0-3.0-2.0-2.8","1","0pu18xqt8ws6","21","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","33","68820","0.0-3.0-2.0-0.9","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","34","69326","0.0-3.0-2.0-1.9","1","0pu18xqt8ws6","21","女性","","","","","",""
"508.1999999284744","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","35","69835","0.0-3.0-2.0-2.9","1","0pu18xqt8ws6","21","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","36","70336","0.0-3.0-2.0-0.10","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","37","70838","0.0-3.0-2.0-1.10","1","0pu18xqt8ws6","21","女性","","","","","",""
"500","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","38","71339","0.0-3.0-2.0-2.10","1","0pu18xqt8ws6","21","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","39","71842","0.0-3.0-2.0-0.11","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","40","72343","0.0-3.0-2.0-1.11","1","0pu18xqt8ws6","21","女性","","","","","",""
"411.1999999284744","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","41","72755","0.0-3.0-2.0-2.11","1","0pu18xqt8ws6","21","女性","","","","中性","j","1"
"3311.6999999284744","それでは本番を行います。<br>準備ができたら「f」キーか「j」キーを押して課題を開始してください。","j","instruction","html-keyboard-response","42","76068","0.0-3.0-3.0","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","","null","","html-keyboard-response","43","76569","0.0-3.0-4.0-0.0","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","44","77070","0.0-3.0-4.0-1.0","1","0pu18xqt8ws6","21","女性","","","","","",""
"411.89999997615814","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","45","77483","0.0-3.0-4.0-2.0","1","0pu18xqt8ws6","21","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","46","77988","0.0-3.0-4.0-0.1","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","47","78493","0.0-3.0-4.0-1.1","1","0pu18xqt8ws6","21","女性","","","","","",""
"438","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","48","78931","0.0-3.0-4.0-2.1","1","0pu18xqt8ws6","21","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","49","79433","0.0-3.0-4.0-0.2","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","50","79939","0.0-3.0-4.0-1.2","1","0pu18xqt8ws6","21","女性","","","","","",""
"575.7999999523163","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","51","80516","0.0-3.0-4.0-2.2","1","0pu18xqt8ws6","21","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","52","81021","0.0-3.0-4.0-0.3","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","53","81527","0.0-3.0-4.0-1.3","1","0pu18xqt8ws6","21","女性","","","","","",""
"524","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","54","82051","0.0-3.0-4.0-2.3","1","0pu18xqt8ws6","21","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","55","82552","0.0-3.0-4.0-0.4","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","56","83057","0.0-3.0-4.0-1.4","1","0pu18xqt8ws6","21","女性","","","","","",""
"442","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","57","83499","0.0-3.0-4.0-2.4","1","0pu18xqt8ws6","21","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","58","84005","0.0-3.0-4.0-0.5","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","59","84511","0.0-3.0-4.0-1.5","1","0pu18xqt8ws6","21","女性","","","","","",""
"556.0999999046326","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","60","85067","0.0-3.0-4.0-2.5","1","0pu18xqt8ws6","21","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","61","85573","0.0-3.0-4.0-0.6","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","62","86079","0.0-3.0-4.0-1.6","1","0pu18xqt8ws6","21","女性","","","","","",""
"460.59999990463257","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","63","86540","0.0-3.0-4.0-2.6","1","0pu18xqt8ws6","21","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","64","87042","0.0-3.0-4.0-0.7","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","65","87548","0.0-3.0-4.0-1.7","1","0pu18xqt8ws6","21","女性","","","","","",""
"430.10000002384186","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","66","87979","0.0-3.0-4.0-2.7","1","0pu18xqt8ws6","21","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","67","88482","0.0-3.0-4.0-0.8","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","68","88985","0.0-3.0-4.0-1.8","1","0pu18xqt8ws6","21","女性","","","","","",""
"465.5","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","69","89452","0.0-3.0-4.0-2.8","1","0pu18xqt8ws6","21","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","70","89956","0.0-3.0-4.0-0.9","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","71","90457","0.0-3.0-4.0-1.9","1","0pu18xqt8ws6","21","女性","","","","","",""
"530.2999999523163","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","72","90988","0.0-3.0-4.0-2.9","1","0pu18xqt8ws6","21","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","73","91490","0.0-3.0-4.0-0.10","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","74","91993","0.0-3.0-4.0-1.10","1","0pu18xqt8ws6","21","女性","","","","","",""
"434.10000002384186","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","75","92428","0.0-3.0-4.0-2.10","1","0pu18xqt8ws6","21","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","76","92933","0.0-3.0-4.0-0.11","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","77","93439","0.0-3.0-4.0-1.11","1","0pu18xqt8ws6","21","女性","","","","","",""
"484.2000000476837","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","78","93924","0.0-3.0-4.0-2.11","1","0pu18xqt8ws6","21","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","79","94426","0.0-3.0-4.0-0.12","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","80","94930","0.0-3.0-4.0-1.12","1","0pu18xqt8ws6","21","女性","","","","","",""
"481.5","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","81","95412","0.0-3.0-4.0-2.12","1","0pu18xqt8ws6","21","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","82","95917","0.0-3.0-4.0-0.13","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","83","96423","0.0-3.0-4.0-1.13","1","0pu18xqt8ws6","21","女性","","","","","",""
"461","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","84","96885","0.0-3.0-4.0-2.13","1","0pu18xqt8ws6","21","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","85","97390","0.0-3.0-4.0-0.14","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","86","97896","0.0-3.0-4.0-1.14","1","0pu18xqt8ws6","21","女性","","","","","",""
"499.7999999523163","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","87","98396","0.0-3.0-4.0-2.14","1","0pu18xqt8ws6","21","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","88","98899","0.0-3.0-4.0-0.15","1","0pu18xqt8ws6","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","89","99405","0.0-3.0-4.0-1.15","1","0pu18xqt8ws6","21","女性","","","","","",""
