"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"36740","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","36745","0.0-0.0","2","1f96wckn5emk","20","男性","","","","","",""
"","","","instruction","fullscreen","1","41482","0.0-1.0","2","1f96wckn5emk","20","男性","true","","","","",""
"8154","","{""age"":20}","par_info","survey-text","2","49640","0.0-2.0-0.0","2","1f96wckn5emk","20","男性","","","","","",""
"2268","","{""sex"":""男性""}","par_info","survey-multi-choice","3","51910","0.0-2.0-1.0","2","1f96wckn5emk","20","男性","","[0]","","","",""
"7093","次のページには，ふだんのあなたの様子について尋ねる文章が表示されます。それぞれについて，どの程度あてはまるかを<br>「あてはまらない」「どちらかと言えばあてはまらない」「どちらかと言えばあてはまる」「あてはまる」<br>の4つの選択肢から1つ選んで回答してください。<br><br>準備ができたらスペースキーを押して回答を開始してください。"," ","instruction","html-keyboard-response","4","59005","0.0-3.0","2","1f96wckn5emk","20","男性","","","","","",""
"93020","","{""Q3"":3,""Q6"":3,""Q13"":2,""Q2"":2,""Q19"":3,""Q11"":3,""Q16"":3,""Q4"":3,""Q7"":3,""Q14"":3,""Q10"":2,""Q8"":3,""Q17"":2,""Q9"":2,""Q15"":3,""Q5"":3,""Q18"":0,""Q1"":0,""Q20"":0,""Q12"":1}","bis_bas","survey-likert","5","152031","0.0-4.0","2","1f96wckn5emk","20","男性","","[2,5,12,1,18,10,15,3,6,13,9,7,16,8,14,4,17,0,19,11]","","","",""
"","","","","call-function","6","152035","0.0-5.0-0.0","2","1f96wckn5emk","20","男性","","","","","",""
"9519","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","j","instruction","html-keyboard-response","7","161558","0.0-5.0-1.0","2","1f96wckn5emk","20","男性","","","","","",""
"null","","null","","html-keyboard-response","8","162063","0.0-5.0-2.0-0.0","2","1f96wckn5emk","20","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","9","162584","0.0-5.0-2.0-1.0","2","1f96wckn5emk","20","男性","","","","","",""
