"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"30531.89999999851","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","30534","0.0-0.0","2","31h414f13x6x","24","男性","","","","","",""
"","","","instruction","fullscreen","1","35773","0.0-1.0","2","31h414f13x6x","24","男性","true","","","","",""
"5693.19999999553","","{""age"":24}","par_info","survey-text","2","41470","0.0-2.0-0.0","2","31h414f13x6x","24","男性","","","","","",""
"3833","","{""sex"":""男性""}","par_info","survey-multi-choice","3","45304","0.0-2.0-1.0","2","31h414f13x6x","24","男性","","[0]","","","",""
"7611.20000000298","次のページには，ふだんのあなたの様子について尋ねる文章が表示されます。それぞれについて，どの程度あてはまるかを<br>「あてはまらない」「どちらかと言えばあてはまらない」「どちらかと言えばあてはまる」「あてはまる」<br>の4つの選択肢から1つ選んで回答してください。<br><br>準備ができたらスペースキーを押して回答を開始してください。"," ","instruction","html-keyboard-response","4","52916","0.0-3.0","2","31h414f13x6x","24","男性","","","","","",""
"122624.29999999702","","{""Q18"":1,""Q2"":3,""Q17"":2,""Q8"":0,""Q12"":0,""Q6"":1,""Q13"":0,""Q1"":2,""Q19"":0,""Q3"":2,""Q11"":0,""Q7"":2,""Q5"":1,""Q10"":0,""Q9"":1,""Q14"":2,""Q20"":1,""Q4"":2,""Q15"":2,""Q16"":0}","bis_bas","survey-likert","5","175544","0.0-4.0","2","31h414f13x6x","24","男性","","[17,1,16,7,11,5,12,0,18,2,10,6,4,9,8,13,19,3,14,15]","","","",""
"","","","","call-function","6","175544","0.0-5.0-0.0","2","31h414f13x6x","24","男性","","","","","",""
"15818.39999999851","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","7","191364","0.0-5.0-1.0","2","31h414f13x6x","24","男性","","","","","",""
"null","","null","","html-keyboard-response","8","191878","0.0-5.0-2.0-0.0","2","31h414f13x6x","24","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","9","192385","0.0-5.0-2.0-1.0","2","31h414f13x6x","24","男性","","","","","",""
"3633","<p style=""font-size: 48px"">>><>></p>","j","flanker_practice","html-keyboard-response","10","196020","0.0-5.0-2.0-2.0","2","31h414f13x6x","24","男性","","","","不一致","f","0"
