"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"17059.39999999106","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","17062","0.0-0.0","2","3nfdasky1p0s","25","女性","","","","","",""
"","","","instruction","fullscreen","1","20834","0.0-1.0","2","3nfdasky1p0s","25","女性","true","","","","",""
"7015.600000008941","","{""age"":25}","par_info","survey-text","2","27855","0.0-2.0-0.0","2","3nfdasky1p0s","25","女性","","","","","",""
"1861.2999999970198","","{""sex"":""女性""}","par_info","survey-multi-choice","3","29719","0.0-2.0-1.0","2","3nfdasky1p0s","25","女性","","[0]","","","",""
"12681.09999999404","次のページには，ふだんのあなたの様子について尋ねる文章が表示されます。それぞれについて，どの程度あてはまるかを<br>「あてはまらない」「どちらかと言えばあてはまらない」「どちらかと言えばあてはまる」「あてはまる」<br>の4つの選択肢から1つ選んで回答してください。<br><br>準備ができたらスペースキーを押して回答を開始してください。"," ","instruction","html-keyboard-response","4","42402","0.0-3.0","2","3nfdasky1p0s","25","女性","","","","","",""
"88277.69999998808","","{""Q1"":3,""Q7"":2,""Q20"":0,""Q11"":2,""Q13"":0,""Q18"":3,""Q6"":0,""Q12"":1,""Q3"":3,""Q10"":0,""Q4"":3,""Q8"":3,""Q14"":2,""Q2"":2,""Q15"":1,""Q19"":2,""Q5"":2,""Q9"":3,""Q16"":3,""Q17"":2}","bis_bas","survey-likert","5","130686","0.0-4.0","2","3nfdasky1p0s","25","女性","","[0,6,19,10,12,17,5,11,2,9,3,7,13,1,14,18,4,8,15,16]","","","",""
"","","","","call-function","6","130688","0.0-5.0-0.0","2","3nfdasky1p0s","25","女性","","","","","",""
"22275.29999999702","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","7","152965","0.0-5.0-1.0","2","3nfdasky1p0s","25","女性","","","","","",""
"null","","null","","html-keyboard-response","8","153478","0.0-5.0-2.0-0.0","2","3nfdasky1p0s","25","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","9","153992","0.0-5.0-2.0-1.0","2","3nfdasky1p0s","25","女性","","","","","",""
"1016.6000000089407","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","10","155011","0.0-5.0-2.0-2.0","2","3nfdasky1p0s","25","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","11","155521","0.0-5.0-2.0-0.1","2","3nfdasky1p0s","25","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","12","156035","0.0-5.0-2.0-1.1","2","3nfdasky1p0s","25","女性","","","","","",""
"410","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","13","156446","0.0-5.0-2.0-2.1","2","3nfdasky1p0s","25","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","14","156955","0.0-5.0-2.0-0.2","2","3nfdasky1p0s","25","女性","","","","","",""
