"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"3350","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","3353","0.0-0.0","1","4elu330d5l4g","21","女性","","","","","",""
"","","","instruction","fullscreen","1","7578","0.0-1.0","1","4elu330d5l4g","21","女性","true","","","","",""
"4301","","{""age"":21}","par_info","survey-text","2","11899","0.0-2.0-0.0","1","4elu330d5l4g","21","女性","","","","","",""
"4405","","{""sex"":""女性""}","par_info","survey-multi-choice","3","16305","0.0-2.0-1.0","1","4elu330d5l4g","21","女性","","[0]","","","",""
"","","","","call-function","4","16323","0.0-3.0-0.0","1","4elu330d5l4g","21","女性","","","","","",""
"2125","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して課題を開始してください。","f","instruction","html-keyboard-response","5","18449","0.0-3.0-1.0","1","4elu330d5l4g","21","女性","","","","","",""
"null","","null","","html-keyboard-response","6","18951","0.0-3.0-2.0-0.0","1","4elu330d5l4g","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","7","19452","0.0-3.0-2.0-1.0","1","4elu330d5l4g","21","女性","","","","","",""
"513","<p style=""font-size: 48px"">--<--</p>","f","","html-keyboard-response","8","19966","0.0-3.0-2.0-2.0","1","4elu330d5l4g","21","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","9","20468","0.0-3.0-2.0-0.1","1","4elu330d5l4g","21","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","10","20970","0.0-3.0-2.0-1.1","1","4elu330d5l4g","21","女性","","","","","",""
"485","<p style=""font-size: 48px"">>>>>></p>","j","","html-keyboard-response","11","21456","0.0-3.0-2.0-2.1","1","4elu330d5l4g","21","女性","","","","一致","j","1"
