"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"5272.0999999940395","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","5277","0.0-0.0","1","5ju3n2krwrcx","26","男性","","","","","",""
"","","","instruction","fullscreen","1","8720","0.0-1.0","1","5ju3n2krwrcx","26","男性","true","","","","",""
"7408.199999988079","","{""age"":26}","par_info","survey-text","2","16136","0.0-2.0-0.0","1","5ju3n2krwrcx","26","男性","","","","","",""
"1536","","{""sex"":""男性""}","par_info","survey-multi-choice","3","17674","0.0-2.0-1.0","1","5ju3n2krwrcx","26","男性","","[0]","","","",""
"","","","","call-function","4","17674","0.0-3.0-0.0","1","5ju3n2krwrcx","26","男性","","","","","",""
"19175.90000000596","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","j","instruction","html-keyboard-response","5","36851","0.0-3.0-1.0","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","","null","","html-keyboard-response","6","37365","0.0-3.0-2.0-0.0","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","7","37874","0.0-3.0-2.0-1.0","1","5ju3n2krwrcx","26","男性","","","","","",""
"496.90000000596046","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","8","38374","0.0-3.0-2.0-2.0","1","5ju3n2krwrcx","26","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","9","38877","0.0-3.0-2.0-0.1","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","10","39382","0.0-3.0-2.0-1.1","1","5ju3n2krwrcx","26","男性","","","","","",""
"435","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","11","39818","0.0-3.0-2.0-2.1","1","5ju3n2krwrcx","26","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","12","40325","0.0-3.0-2.0-0.2","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","13","40828","0.0-3.0-2.0-1.2","1","5ju3n2krwrcx","26","男性","","","","","",""
"301.19999998807907","<p style=""font-size: 48px"">>><>></p>","j","flanker_practice","html-keyboard-response","14","41130","0.0-3.0-2.0-2.2","1","5ju3n2krwrcx","26","男性","","","","不一致","f","0"
"null","","null","","html-keyboard-response","15","41643","0.0-3.0-2.0-0.3","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","16","42145","0.0-3.0-2.0-1.3","1","5ju3n2krwrcx","26","男性","","","","","",""
"502.5","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","17","42649","0.0-3.0-2.0-2.3","1","5ju3n2krwrcx","26","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","18","43159","0.0-3.0-2.0-0.4","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","19","43665","0.0-3.0-2.0-1.4","1","5ju3n2krwrcx","26","男性","","","","","",""
"574.2000000178814","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","20","44240","0.0-3.0-2.0-2.4","1","5ju3n2krwrcx","26","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","21","44746","0.0-3.0-2.0-0.5","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","22","45258","0.0-3.0-2.0-1.5","1","5ju3n2krwrcx","26","男性","","","","","",""
"458.09999999403954","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","23","45716","0.0-3.0-2.0-2.5","1","5ju3n2krwrcx","26","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","24","46227","0.0-3.0-2.0-0.6","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","25","46735","0.0-3.0-2.0-1.6","1","5ju3n2krwrcx","26","男性","","","","","",""
"423.90000000596046","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","26","47160","0.0-3.0-2.0-2.6","1","5ju3n2krwrcx","26","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","27","47665","0.0-3.0-2.0-0.7","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","28","48173","0.0-3.0-2.0-1.7","1","5ju3n2krwrcx","26","男性","","","","","",""
"382.7000000178814","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","29","48557","0.0-3.0-2.0-2.7","1","5ju3n2krwrcx","26","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","30","49064","0.0-3.0-2.0-0.8","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","31","49570","0.0-3.0-2.0-1.8","1","5ju3n2krwrcx","26","男性","","","","","",""
"320.89999997615814","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","32","49892","0.0-3.0-2.0-2.8","1","5ju3n2krwrcx","26","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","33","50402","0.0-3.0-2.0-0.9","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","34","50905","0.0-3.0-2.0-1.9","1","5ju3n2krwrcx","26","男性","","","","","",""
"385.7000000178814","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","35","51291","0.0-3.0-2.0-2.9","1","5ju3n2krwrcx","26","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","36","51796","0.0-3.0-2.0-0.10","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","37","52304","0.0-3.0-2.0-1.10","1","5ju3n2krwrcx","26","男性","","","","","",""
"547.0999999940395","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","38","52852","0.0-3.0-2.0-2.10","1","5ju3n2krwrcx","26","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","39","53363","0.0-3.0-2.0-0.11","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","40","53873","0.0-3.0-2.0-1.11","1","5ju3n2krwrcx","26","男性","","","","","",""
"491.69999998807907","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","41","54366","0.0-3.0-2.0-2.11","1","5ju3n2krwrcx","26","男性","","","","不一致","j","1"
"2887.100000023842","それでは本番を行います。<br>準備ができたら「f」キーか「j」キーを押して課題を開始してください。","j","instruction","html-keyboard-response","42","57253","0.0-3.0-3.0","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","","null","","html-keyboard-response","43","57767","0.0-3.0-4.0-0.0","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","44","58276","0.0-3.0-4.0-1.0","1","5ju3n2krwrcx","26","男性","","","","","",""
"403.09999999403954","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","45","58681","0.0-3.0-4.0-2.0","1","5ju3n2krwrcx","26","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","46","59197","0.0-3.0-4.0-0.1","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","47","59708","0.0-3.0-4.0-1.1","1","5ju3n2krwrcx","26","男性","","","","","",""
"502.5","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","48","60211","0.0-3.0-4.0-2.1","1","5ju3n2krwrcx","26","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","49","60727","0.0-3.0-4.0-0.2","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","50","61230","0.0-3.0-4.0-1.2","1","5ju3n2krwrcx","26","男性","","","","","",""
"404.40000000596046","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","51","61635","0.0-3.0-4.0-2.2","1","5ju3n2krwrcx","26","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","52","62140","0.0-3.0-4.0-0.3","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","53","62644","0.0-3.0-4.0-1.3","1","5ju3n2krwrcx","26","男性","","","","","",""
"464.89999997615814","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","54","63110","0.0-3.0-4.0-2.3","1","5ju3n2krwrcx","26","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","55","63615","0.0-3.0-4.0-0.4","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","56","64118","0.0-3.0-4.0-1.4","1","5ju3n2krwrcx","26","男性","","","","","",""
"415.90000000596046","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","57","64535","0.0-3.0-4.0-2.4","1","5ju3n2krwrcx","26","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","58","65040","0.0-3.0-4.0-0.5","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","59","65556","0.0-3.0-4.0-1.5","1","5ju3n2krwrcx","26","男性","","","","","",""
"370.7999999821186","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","60","65928","0.0-3.0-4.0-2.5","1","5ju3n2krwrcx","26","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","61","66435","0.0-3.0-4.0-0.6","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","62","66939","0.0-3.0-4.0-1.6","1","5ju3n2krwrcx","26","男性","","","","","",""
"383.59999999403954","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","63","67323","0.0-3.0-4.0-2.6","1","5ju3n2krwrcx","26","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","64","67838","0.0-3.0-4.0-0.7","1","5ju3n2krwrcx","26","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","65","68339","0.0-3.0-4.0-1.7","1","5ju3n2krwrcx","26","男性","","","","","",""
