"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"12158","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","12165","0.0-0.0","2","6mum9z0d4xyv","18","女性","","","","","",""
"","","","instruction","fullscreen","1","16723","0.0-1.0","2","6mum9z0d4xyv","18","女性","true","","","","",""
"5920","","{""age"":18}","par_info","survey-text","2","22645","0.0-2.0-0.0","2","6mum9z0d4xyv","18","女性","","","","","",""
"2472","","{""sex"":""女性""}","par_info","survey-multi-choice","3","25119","0.0-2.0-1.0","2","6mum9z0d4xyv","18","女性","","[0]","","","",""
"13856","次のページには，ふだんのあなたの様子について尋ねる文章が表示されます。それぞれについて，どの程度あてはまるかを<br>「あてはまらない」「どちらかと言えばあてはまらない」「どちらかと言えばあてはまる」「あてはまる」<br>の4つの選択肢から1つ選んで回答してください。<br><br>準備ができたらスペースキーを押して回答を開始してください。"," ","instruction","html-keyboard-response","4","38978","0.0-3.0","2","6mum9z0d4xyv","18","女性","","","","","",""
"132671","","{""Q7"":2,""Q6"":2,""Q16"":2,""Q17"":2,""Q18"":2,""Q8"":2,""Q14"":2,""Q12"":2,""Q5"":2,""Q1"":1,""Q10"":2,""Q19"":1,""Q20"":2,""Q9"":1,""Q13"":2,""Q3"":3,""Q4"":2,""Q15"":3,""Q2"":2,""Q11"":2}","bis_bas","survey-likert","5","171658","0.0-4.0","2","6mum9z0d4xyv","18","女性","","[6,5,15,16,17,7,13,11,4,0,9,18,19,8,12,2,3,14,1,10]","","","",""
"","","","","call-function","6","171659","0.0-5.0-0.0","2","6mum9z0d4xyv","18","女性","","","","","",""
"16519","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","7","188180","0.0-5.0-1.0","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","","null","","html-keyboard-response","8","188699","0.0-5.0-2.0-0.0","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","9","189218","0.0-5.0-2.0-1.0","2","6mum9z0d4xyv","18","女性","","","","","",""
"668","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","10","189889","0.0-5.0-2.0-2.0","2","6mum9z0d4xyv","18","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","11","190409","0.0-5.0-2.0-0.1","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","12","190929","0.0-5.0-2.0-1.1","2","6mum9z0d4xyv","18","女性","","","","","",""
"605","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","13","191535","0.0-5.0-2.0-2.1","2","6mum9z0d4xyv","18","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","14","192049","0.0-5.0-2.0-0.2","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","15","192569","0.0-5.0-2.0-1.2","2","6mum9z0d4xyv","18","女性","","","","","",""
"389","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","16","192960","0.0-5.0-2.0-2.2","2","6mum9z0d4xyv","18","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","17","193468","0.0-5.0-2.0-0.3","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","18","193989","0.0-5.0-2.0-1.3","2","6mum9z0d4xyv","18","女性","","","","","",""
"439","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","19","194429","0.0-5.0-2.0-2.3","2","6mum9z0d4xyv","18","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","20","194944","0.0-5.0-2.0-0.4","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","21","195469","0.0-5.0-2.0-1.4","2","6mum9z0d4xyv","18","女性","","","","","",""
"466","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","22","195936","0.0-5.0-2.0-2.4","2","6mum9z0d4xyv","18","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","23","196449","0.0-5.0-2.0-0.5","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","24","196968","0.0-5.0-2.0-1.5","2","6mum9z0d4xyv","18","女性","","","","","",""
"470","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","25","197439","0.0-5.0-2.0-2.5","2","6mum9z0d4xyv","18","女性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","26","197948","0.0-5.0-2.0-0.6","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","27","198469","0.0-5.0-2.0-1.6","2","6mum9z0d4xyv","18","女性","","","","","",""
"379","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","28","198849","0.0-5.0-2.0-2.6","2","6mum9z0d4xyv","18","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","29","199369","0.0-5.0-2.0-0.7","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","30","199888","0.0-5.0-2.0-1.7","2","6mum9z0d4xyv","18","女性","","","","","",""
"494","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","31","200384","0.0-5.0-2.0-2.7","2","6mum9z0d4xyv","18","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","32","200888","0.0-5.0-2.0-0.8","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","33","201408","0.0-5.0-2.0-1.8","2","6mum9z0d4xyv","18","女性","","","","","",""
"366","<p style=""font-size: 48px"">>><>></p>","j","flanker_practice","html-keyboard-response","34","201776","0.0-5.0-2.0-2.8","2","6mum9z0d4xyv","18","女性","","","","不一致","f","0"
"null","","null","","html-keyboard-response","35","202288","0.0-5.0-2.0-0.9","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","36","202799","0.0-5.0-2.0-1.9","2","6mum9z0d4xyv","18","女性","","","","","",""
"529","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","37","203329","0.0-5.0-2.0-2.9","2","6mum9z0d4xyv","18","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","38","203838","0.0-5.0-2.0-0.10","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","39","204358","0.0-5.0-2.0-1.10","2","6mum9z0d4xyv","18","女性","","","","","",""
"585","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","40","204944","0.0-5.0-2.0-2.10","2","6mum9z0d4xyv","18","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","41","205458","0.0-5.0-2.0-0.11","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","42","205974","0.0-5.0-2.0-1.11","2","6mum9z0d4xyv","18","女性","","","","","",""
"472","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","43","206448","0.0-5.0-2.0-2.11","2","6mum9z0d4xyv","18","女性","","","","中性","j","1"
"4287","それでは本番を行います。<br>準備ができたら「f」キーか「j」キーを押して課題を開始してください。","f","instruction","html-keyboard-response","44","210736","0.0-5.0-3.0","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","","null","","html-keyboard-response","45","211248","0.0-5.0-4.0-0.0","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","46","211769","0.0-5.0-4.0-1.0","2","6mum9z0d4xyv","18","女性","","","","","",""
"550","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","47","212320","0.0-5.0-4.0-2.0","2","6mum9z0d4xyv","18","女性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","48","212828","0.0-5.0-4.0-0.1","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","49","213349","0.0-5.0-4.0-1.1","2","6mum9z0d4xyv","18","女性","","","","","",""
"394","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","50","213744","0.0-5.0-4.0-2.1","2","6mum9z0d4xyv","18","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","51","214258","0.0-5.0-4.0-0.2","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","52","214779","0.0-5.0-4.0-1.2","2","6mum9z0d4xyv","18","女性","","","","","",""
"468","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","53","215248","0.0-5.0-4.0-2.2","2","6mum9z0d4xyv","18","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","54","215758","0.0-5.0-4.0-0.3","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","55","216278","0.0-5.0-4.0-1.3","2","6mum9z0d4xyv","18","女性","","","","","",""
"521","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","56","216800","0.0-5.0-4.0-2.3","2","6mum9z0d4xyv","18","女性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","57","217319","0.0-5.0-4.0-0.4","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","58","217839","0.0-5.0-4.0-1.4","2","6mum9z0d4xyv","18","女性","","","","","",""
"386","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","59","218226","0.0-5.0-4.0-2.4","2","6mum9z0d4xyv","18","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","60","218739","0.0-5.0-4.0-0.5","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","61","219258","0.0-5.0-4.0-1.5","2","6mum9z0d4xyv","18","女性","","","","","",""
"436","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","62","219696","0.0-5.0-4.0-2.5","2","6mum9z0d4xyv","18","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","63","220208","0.0-5.0-4.0-0.6","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","64","220708","0.0-5.0-4.0-1.6","2","6mum9z0d4xyv","18","女性","","","","","",""
"394","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","65","221104","0.0-5.0-4.0-2.6","2","6mum9z0d4xyv","18","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","66","221608","0.0-5.0-4.0-0.7","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","67","222129","0.0-5.0-4.0-1.7","2","6mum9z0d4xyv","18","女性","","","","","",""
"463","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","68","222592","0.0-5.0-4.0-2.7","2","6mum9z0d4xyv","18","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","69","223105","0.0-5.0-4.0-0.8","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","70","223628","0.0-5.0-4.0-1.8","2","6mum9z0d4xyv","18","女性","","","","","",""
"481","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","71","224110","0.0-5.0-4.0-2.8","2","6mum9z0d4xyv","18","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","72","224628","0.0-5.0-4.0-0.9","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","73","225149","0.0-5.0-4.0-1.9","2","6mum9z0d4xyv","18","女性","","","","","",""
"531","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","74","225680","0.0-5.0-4.0-2.9","2","6mum9z0d4xyv","18","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","75","226199","0.0-5.0-4.0-0.10","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","76","226719","0.0-5.0-4.0-1.10","2","6mum9z0d4xyv","18","女性","","","","","",""
"416","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","77","227135","0.0-5.0-4.0-2.10","2","6mum9z0d4xyv","18","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","78","227639","0.0-5.0-4.0-0.11","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","79","228159","0.0-5.0-4.0-1.11","2","6mum9z0d4xyv","18","女性","","","","","",""
"354","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","80","228513","0.0-5.0-4.0-2.11","2","6mum9z0d4xyv","18","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","81","229029","0.0-5.0-4.0-0.12","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","82","229548","0.0-5.0-4.0-1.12","2","6mum9z0d4xyv","18","女性","","","","","",""
"387","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","83","229936","0.0-5.0-4.0-2.12","2","6mum9z0d4xyv","18","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","84","230448","0.0-5.0-4.0-0.13","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","85","230969","0.0-5.0-4.0-1.13","2","6mum9z0d4xyv","18","女性","","","","","",""
"392","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","86","231361","0.0-5.0-4.0-2.13","2","6mum9z0d4xyv","18","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","87","231868","0.0-5.0-4.0-0.14","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","88","232388","0.0-5.0-4.0-1.14","2","6mum9z0d4xyv","18","女性","","","","","",""
"379","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","89","232768","0.0-5.0-4.0-2.14","2","6mum9z0d4xyv","18","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","90","233287","0.0-5.0-4.0-0.15","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","91","233789","0.0-5.0-4.0-1.15","2","6mum9z0d4xyv","18","女性","","","","","",""
"354","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","92","234144","0.0-5.0-4.0-2.15","2","6mum9z0d4xyv","18","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","93","234648","0.0-5.0-4.0-0.16","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","94","235150","0.0-5.0-4.0-1.16","2","6mum9z0d4xyv","18","女性","","","","","",""
"432","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","95","235584","0.0-5.0-4.0-2.16","2","6mum9z0d4xyv","18","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","96","236099","0.0-5.0-4.0-0.17","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","97","236619","0.0-5.0-4.0-1.17","2","6mum9z0d4xyv","18","女性","","","","","",""
"388","<p style=""font-size: 48px"">>><>></p>","j","flanker_main","html-keyboard-response","98","237008","0.0-5.0-4.0-2.17","2","6mum9z0d4xyv","18","女性","","","","不一致","f","0"
"null","","null","","html-keyboard-response","99","237519","0.0-5.0-4.0-0.18","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","100","238038","0.0-5.0-4.0-1.18","2","6mum9z0d4xyv","18","女性","","","","","",""
"473","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","101","238512","0.0-5.0-4.0-2.18","2","6mum9z0d4xyv","18","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","102","239018","0.0-5.0-4.0-0.19","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","103","239533","0.0-5.0-4.0-1.19","2","6mum9z0d4xyv","18","女性","","","","","",""
"403","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","104","239937","0.0-5.0-4.0-2.19","2","6mum9z0d4xyv","18","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","105","240458","0.0-5.0-4.0-0.20","2","6mum9z0d4xyv","18","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","106","240979","0.0-5.0-4.0-1.20","2","6mum9z0d4xyv","18","女性","","","","","",""
