"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"15245.59999999404","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","15248","0.0-0.0","1","8gz0yse3qzro","28","女性","","","","","",""
"","","","instruction","fullscreen","1","20541","0.0-1.0","1","8gz0yse3qzro","28","女性","true","","","","",""
"15569.5","","{""age"":28}","par_info","survey-text","2","36116","0.0-2.0-0.0","1","8gz0yse3qzro","28","女性","","","","","",""
"2342.5","","{""sex"":""女性""}","par_info","survey-multi-choice","3","38460","0.0-2.0-1.0","1","8gz0yse3qzro","28","女性","","[0]","","","",""
"","","","","call-function","4","38461","0.0-3.0-0.0","1","8gz0yse3qzro","28","女性","","","","","",""
"18776.40000000596","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","5","57238","0.0-3.0-1.0","1","8gz0yse3qzro","28","女性","","","","","",""
"null","","null","","html-keyboard-response","6","57752","0.0-3.0-2.0-0.0","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","7","58254","0.0-3.0-2.0-1.0","1","8gz0yse3qzro","28","女性","","","","","",""
"496.40000000596046","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","8","58754","0.0-3.0-2.0-2.0","1","8gz0yse3qzro","28","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","9","59265","0.0-3.0-2.0-0.1","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","10","59768","0.0-3.0-2.0-1.1","1","8gz0yse3qzro","28","女性","","","","","",""
"598.1999999880791","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","11","60368","0.0-3.0-2.0-2.1","1","8gz0yse3qzro","28","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","12","60872","0.0-3.0-2.0-0.2","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","13","61382","0.0-3.0-2.0-1.2","1","8gz0yse3qzro","28","女性","","","","","",""
"432.2999999821186","<p style=""font-size: 48px"">>><>></p>","j","flanker_practice","html-keyboard-response","14","61815","0.0-3.0-2.0-2.2","1","8gz0yse3qzro","28","女性","","","","不一致","f","0"
"null","","null","","html-keyboard-response","15","62318","0.0-3.0-2.0-0.3","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","16","62831","0.0-3.0-2.0-1.3","1","8gz0yse3qzro","28","女性","","","","","",""
"459","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","17","63291","0.0-3.0-2.0-2.3","1","8gz0yse3qzro","28","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","18","63798","0.0-3.0-2.0-0.4","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","19","64313","0.0-3.0-2.0-1.4","1","8gz0yse3qzro","28","女性","","","","","",""
"493.30000001192093","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","20","64807","0.0-3.0-2.0-2.4","1","8gz0yse3qzro","28","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","21","65322","0.0-3.0-2.0-0.5","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","22","65837","0.0-3.0-2.0-1.5","1","8gz0yse3qzro","28","女性","","","","","",""
"529.0999999940395","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","23","66367","0.0-3.0-2.0-2.5","1","8gz0yse3qzro","28","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","24","66873","0.0-3.0-2.0-0.6","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","25","67377","0.0-3.0-2.0-1.6","1","8gz0yse3qzro","28","女性","","","","","",""
"433.09999999403954","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","26","67811","0.0-3.0-2.0-2.6","1","8gz0yse3qzro","28","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","27","68320","0.0-3.0-2.0-0.7","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","28","68823","0.0-3.0-2.0-1.7","1","8gz0yse3qzro","28","女性","","","","","",""
"787.3999999761581","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","29","69611","0.0-3.0-2.0-2.7","1","8gz0yse3qzro","28","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","30","70118","0.0-3.0-2.0-0.8","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","31","70619","0.0-3.0-2.0-1.8","1","8gz0yse3qzro","28","女性","","","","","",""
"618.5999999940395","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","32","71238","0.0-3.0-2.0-2.8","1","8gz0yse3qzro","28","女性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","33","71753","0.0-3.0-2.0-0.9","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","34","72259","0.0-3.0-2.0-1.9","1","8gz0yse3qzro","28","女性","","","","","",""
"527.2000000178814","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","35","72787","0.0-3.0-2.0-2.9","1","8gz0yse3qzro","28","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","36","73289","0.0-3.0-2.0-0.10","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","37","73791","0.0-3.0-2.0-1.10","1","8gz0yse3qzro","28","女性","","","","","",""
"585.9000000059605","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","38","74378","0.0-3.0-2.0-2.10","1","8gz0yse3qzro","28","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","39","74884","0.0-3.0-2.0-0.11","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","40","75395","0.0-3.0-2.0-1.11","1","8gz0yse3qzro","28","女性","","","","","",""
"447","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","41","75843","0.0-3.0-2.0-2.11","1","8gz0yse3qzro","28","女性","","","","中性","j","1"
"1772.300000011921","それでは本番を行います。<br>準備ができたら「f」キーか「j」キーを押して課題を開始してください。","j","instruction","html-keyboard-response","42","77616","0.0-3.0-3.0","1","8gz0yse3qzro","28","女性","","","","","",""
"null","","null","","html-keyboard-response","43","78124","0.0-3.0-4.0-0.0","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","44","78635","0.0-3.0-4.0-1.0","1","8gz0yse3qzro","28","女性","","","","","",""
"463.09999999403954","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","45","79100","0.0-3.0-4.0-2.0","1","8gz0yse3qzro","28","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","46","79615","0.0-3.0-4.0-0.1","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","47","80116","0.0-3.0-4.0-1.1","1","8gz0yse3qzro","28","女性","","","","","",""
"649.3000000119209","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","48","80766","0.0-3.0-4.0-2.1","1","8gz0yse3qzro","28","女性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","49","81269","0.0-3.0-4.0-0.2","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","50","81771","0.0-3.0-4.0-1.2","1","8gz0yse3qzro","28","女性","","","","","",""
"456.69999998807907","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","51","82229","0.0-3.0-4.0-2.2","1","8gz0yse3qzro","28","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","52","82733","0.0-3.0-4.0-0.3","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","53","83234","0.0-3.0-4.0-1.3","1","8gz0yse3qzro","28","女性","","","","","",""
"570.5","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","54","83806","0.0-3.0-4.0-2.3","1","8gz0yse3qzro","28","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","55","84309","0.0-3.0-4.0-0.4","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","56","84823","0.0-3.0-4.0-1.4","1","8gz0yse3qzro","28","女性","","","","","",""
"515.5","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","57","85339","0.0-3.0-4.0-2.4","1","8gz0yse3qzro","28","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","58","85852","0.0-3.0-4.0-0.5","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","59","86367","0.0-3.0-4.0-1.5","1","8gz0yse3qzro","28","女性","","","","","",""
"517.8999999761581","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","60","86886","0.0-3.0-4.0-2.5","1","8gz0yse3qzro","28","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","61","87402","0.0-3.0-4.0-0.6","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","62","87917","0.0-3.0-4.0-1.6","1","8gz0yse3qzro","28","女性","","","","","",""
"385.69999998807907","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","63","88304","0.0-3.0-4.0-2.6","1","8gz0yse3qzro","28","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","64","88817","0.0-3.0-4.0-0.7","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","65","89330","0.0-3.0-4.0-1.7","1","8gz0yse3qzro","28","女性","","","","","",""
"446.60000002384186","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","66","89778","0.0-3.0-4.0-2.7","1","8gz0yse3qzro","28","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","67","90281","0.0-3.0-4.0-0.8","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","68","90794","0.0-3.0-4.0-1.8","1","8gz0yse3qzro","28","女性","","","","","",""
"447","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","69","91242","0.0-3.0-4.0-2.8","1","8gz0yse3qzro","28","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","70","91761","0.0-3.0-4.0-0.9","1","8gz0yse3qzro","28","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","71","92264","0.0-3.0-4.0-1.9","1","8gz0yse3qzro","28","女性","","","","","",""
"549","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","72","92813","0.0-3.0-4.0-2.9","1","8gz0yse3qzro","28","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","73","93318","0.0-3.0-4.0-0.10","1","8gz0yse3qzro","28","女性","","","","","",""
