"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"29867","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","29869","0.0-0.0","1","ankhve299sa5","22","男性","","","","","",""
"","","","instruction","fullscreen","1","34350","0.0-1.0","1","ankhve299sa5","22","男性","true","","","","",""
"5719","","{""age"":22}","par_info","survey-text","2","40094","0.0-2.0-0.0","1","ankhve299sa5","22","男性","","","","","",""
"3085.9999999999927","","{""sex"":""男性""}","par_info","survey-multi-choice","3","43182","0.0-2.0-1.0","1","ankhve299sa5","22","男性","","[0]","","","",""
"","","","","call-function","4","43182","0.0-3.0-0.0","1","ankhve299sa5","22","男性","","","","","",""
"28170","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","5","71354","0.0-3.0-1.0","1","ankhve299sa5","22","男性","","","","","",""
"null","","null","","html-keyboard-response","6","71856","0.0-3.0-2.0-0.0","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","7","72358","0.0-3.0-2.0-1.0","1","ankhve299sa5","22","男性","","","","","",""
"765","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","8","73124","0.0-3.0-2.0-2.0","1","ankhve299sa5","22","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","9","73626","0.0-3.0-2.0-0.1","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","10","74128","0.0-3.0-2.0-1.1","1","ankhve299sa5","22","男性","","","","","",""
"598","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","11","74727","0.0-3.0-2.0-2.1","1","ankhve299sa5","22","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","12","75229","0.0-3.0-2.0-0.2","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","13","75730","0.0-3.0-2.0-1.2","1","ankhve299sa5","22","男性","","","","","",""
"724","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","14","76455","0.0-3.0-2.0-2.2","1","ankhve299sa5","22","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","15","76957","0.0-3.0-2.0-0.3","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","16","77460","0.0-3.0-2.0-1.3","1","ankhve299sa5","22","男性","","","","","",""
"604","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","17","78065","0.0-3.0-2.0-2.3","1","ankhve299sa5","22","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","18","78566","0.0-3.0-2.0-0.4","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","19","79069","0.0-3.0-2.0-1.4","1","ankhve299sa5","22","男性","","","","","",""
"557","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","20","79626","0.0-3.0-2.0-2.4","1","ankhve299sa5","22","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","21","80128","0.0-3.0-2.0-0.5","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","22","80631","0.0-3.0-2.0-1.5","1","ankhve299sa5","22","男性","","","","","",""
"869","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","23","81500","0.0-3.0-2.0-2.5","1","ankhve299sa5","22","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","24","82002","0.0-3.0-2.0-0.6","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","25","82505","0.0-3.0-2.0-1.6","1","ankhve299sa5","22","男性","","","","","",""
"535.9999999999854","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","26","83042","0.0-3.0-2.0-2.6","1","ankhve299sa5","22","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","27","83544","0.0-3.0-2.0-0.7","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","28","84046","0.0-3.0-2.0-1.7","1","ankhve299sa5","22","男性","","","","","",""
"578","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","29","84625","0.0-3.0-2.0-2.7","1","ankhve299sa5","22","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","30","85127","0.0-3.0-2.0-0.8","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","31","85628","0.0-3.0-2.0-1.8","1","ankhve299sa5","22","男性","","","","","",""
"1074","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","32","86704","0.0-3.0-2.0-2.8","1","ankhve299sa5","22","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","33","87206","0.0-3.0-2.0-0.9","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","34","87708","0.0-3.0-2.0-1.9","1","ankhve299sa5","22","男性","","","","","",""
"517","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","35","88227","0.0-3.0-2.0-2.9","1","ankhve299sa5","22","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","36","88729","0.0-3.0-2.0-0.10","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","37","89232","0.0-3.0-2.0-1.10","1","ankhve299sa5","22","男性","","","","","",""
"822","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","38","90054","0.0-3.0-2.0-2.10","1","ankhve299sa5","22","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","39","90556","0.0-3.0-2.0-0.11","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","40","91057","0.0-3.0-2.0-1.11","1","ankhve299sa5","22","男性","","","","","",""
"538","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","41","91597","0.0-3.0-2.0-2.11","1","ankhve299sa5","22","男性","","","","中性","f","1"
"5339","それでは本番を行います。<br>準備ができたら「f」キーか「j」キーを押して課題を開始してください。","j","instruction","html-keyboard-response","42","96937","0.0-3.0-3.0","1","ankhve299sa5","22","男性","","","","","",""
"null","","null","","html-keyboard-response","43","97439","0.0-3.0-4.0-0.0","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","44","97940","0.0-3.0-4.0-1.0","1","ankhve299sa5","22","男性","","","","","",""
"466","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","45","98407","0.0-3.0-4.0-2.0","1","ankhve299sa5","22","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","46","98909","0.0-3.0-4.0-0.1","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","47","99411","0.0-3.0-4.0-1.1","1","ankhve299sa5","22","男性","","","","","",""
"605","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","48","100017","0.0-3.0-4.0-2.1","1","ankhve299sa5","22","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","49","100519","0.0-3.0-4.0-0.2","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","50","101021","0.0-3.0-4.0-1.2","1","ankhve299sa5","22","男性","","","","","",""
"565","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","51","101587","0.0-3.0-4.0-2.2","1","ankhve299sa5","22","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","52","102089","0.0-3.0-4.0-0.3","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","53","102590","0.0-3.0-4.0-1.3","1","ankhve299sa5","22","男性","","","","","",""
"445.00000000001455","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","54","103036","0.0-3.0-4.0-2.3","1","ankhve299sa5","22","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","55","103538","0.0-3.0-4.0-0.4","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","56","104040","0.0-3.0-4.0-1.4","1","ankhve299sa5","22","男性","","","","","",""
"494","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","57","104535","0.0-3.0-4.0-2.4","1","ankhve299sa5","22","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","58","105037","0.0-3.0-4.0-0.5","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","59","105539","0.0-3.0-4.0-1.5","1","ankhve299sa5","22","男性","","","","","",""
"452","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","60","105992","0.0-3.0-4.0-2.5","1","ankhve299sa5","22","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","61","106494","0.0-3.0-4.0-0.6","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","62","106996","0.0-3.0-4.0-1.6","1","ankhve299sa5","22","男性","","","","","",""
"692","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","63","107689","0.0-3.0-4.0-2.6","1","ankhve299sa5","22","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","64","108191","0.0-3.0-4.0-0.7","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","65","108692","0.0-3.0-4.0-1.7","1","ankhve299sa5","22","男性","","","","","",""
"491","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","66","109184","0.0-3.0-4.0-2.7","1","ankhve299sa5","22","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","67","109686","0.0-3.0-4.0-0.8","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","68","110188","0.0-3.0-4.0-1.8","1","ankhve299sa5","22","男性","","","","","",""
"822","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","69","111011","0.0-3.0-4.0-2.8","1","ankhve299sa5","22","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","70","111513","0.0-3.0-4.0-0.9","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","71","112015","0.0-3.0-4.0-1.9","1","ankhve299sa5","22","男性","","","","","",""
"488","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","72","112504","0.0-3.0-4.0-2.9","1","ankhve299sa5","22","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","73","113006","0.0-3.0-4.0-0.10","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","74","113508","0.0-3.0-4.0-1.10","1","ankhve299sa5","22","男性","","","","","",""
"572.9999999999854","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","75","114082","0.0-3.0-4.0-2.10","1","ankhve299sa5","22","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","76","114583","0.0-3.0-4.0-0.11","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","77","115086","0.0-3.0-4.0-1.11","1","ankhve299sa5","22","男性","","","","","",""
"531","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","78","115618","0.0-3.0-4.0-2.11","1","ankhve299sa5","22","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","79","116119","0.0-3.0-4.0-0.12","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","80","116621","0.0-3.0-4.0-1.12","1","ankhve299sa5","22","男性","","","","","",""
"548","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","81","117171","0.0-3.0-4.0-2.12","1","ankhve299sa5","22","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","82","117673","0.0-3.0-4.0-0.13","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","83","118175","0.0-3.0-4.0-1.13","1","ankhve299sa5","22","男性","","","","","",""
"512","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","84","118689","0.0-3.0-4.0-2.13","1","ankhve299sa5","22","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","85","119191","0.0-3.0-4.0-0.14","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","86","119693","0.0-3.0-4.0-1.14","1","ankhve299sa5","22","男性","","","","","",""
"511","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","87","120205","0.0-3.0-4.0-2.14","1","ankhve299sa5","22","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","88","120706","0.0-3.0-4.0-0.15","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","89","121208","0.0-3.0-4.0-1.15","1","ankhve299sa5","22","男性","","","","","",""
"500","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","90","121709","0.0-3.0-4.0-2.15","1","ankhve299sa5","22","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","91","122211","0.0-3.0-4.0-0.16","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","92","122713","0.0-3.0-4.0-1.16","1","ankhve299sa5","22","男性","","","","","",""
"565","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","93","123279","0.0-3.0-4.0-2.16","1","ankhve299sa5","22","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","94","123781","0.0-3.0-4.0-0.17","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","95","124283","0.0-3.0-4.0-1.17","1","ankhve299sa5","22","男性","","","","","",""
"546","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","96","124830","0.0-3.0-4.0-2.17","1","ankhve299sa5","22","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","97","125331","0.0-3.0-4.0-0.18","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","98","125834","0.0-3.0-4.0-1.18","1","ankhve299sa5","22","男性","","","","","",""
"522","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","99","126357","0.0-3.0-4.0-2.18","1","ankhve299sa5","22","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","100","126859","0.0-3.0-4.0-0.19","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","101","127362","0.0-3.0-4.0-1.19","1","ankhve299sa5","22","男性","","","","","",""
"552","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","102","127916","0.0-3.0-4.0-2.19","1","ankhve299sa5","22","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","103","128417","0.0-3.0-4.0-0.20","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","104","128920","0.0-3.0-4.0-1.20","1","ankhve299sa5","22","男性","","","","","",""
"461.00000000001455","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","105","129382","0.0-3.0-4.0-2.20","1","ankhve299sa5","22","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","106","129884","0.0-3.0-4.0-0.21","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","107","130386","0.0-3.0-4.0-1.21","1","ankhve299sa5","22","男性","","","","","",""
"610.9999999999854","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","108","130998","0.0-3.0-4.0-2.21","1","ankhve299sa5","22","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","109","131500","0.0-3.0-4.0-0.22","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","110","132001","0.0-3.0-4.0-1.22","1","ankhve299sa5","22","男性","","","","","",""
"528.9999999999709","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","111","132531","0.0-3.0-4.0-2.22","1","ankhve299sa5","22","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","112","133033","0.0-3.0-4.0-0.23","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","113","133535","0.0-3.0-4.0-1.23","1","ankhve299sa5","22","男性","","","","","",""
"461","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","114","133997","0.0-3.0-4.0-2.23","1","ankhve299sa5","22","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","115","134499","0.0-3.0-4.0-0.24","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","116","135001","0.0-3.0-4.0-1.24","1","ankhve299sa5","22","男性","","","","","",""
"526.9999999999709","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","117","135529","0.0-3.0-4.0-2.24","1","ankhve299sa5","22","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","118","136031","0.0-3.0-4.0-0.25","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","119","136532","0.0-3.0-4.0-1.25","1","ankhve299sa5","22","男性","","","","","",""
"469.0000000000291","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","120","137002","0.0-3.0-4.0-2.25","1","ankhve299sa5","22","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","121","137504","0.0-3.0-4.0-0.26","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","122","138006","0.0-3.0-4.0-1.26","1","ankhve299sa5","22","男性","","","","","",""
"525","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","123","138532","0.0-3.0-4.0-2.26","1","ankhve299sa5","22","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","124","139034","0.0-3.0-4.0-0.27","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","125","139536","0.0-3.0-4.0-1.27","1","ankhve299sa5","22","男性","","","","","",""
"583","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","126","140120","0.0-3.0-4.0-2.27","1","ankhve299sa5","22","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","127","140622","0.0-3.0-4.0-0.28","1","ankhve299sa5","22","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","128","141123","0.0-3.0-4.0-1.28","1","ankhve299sa5","22","男性","","","","","",""
"429","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","129","141553","0.0-3.0-4.0-2.28","1","ankhve299sa5","22","男性","","","","中性","j","1"
