"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","condition","key","correct"
"1666","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","1668","0.0-0.0","2","crgw5ufzfv03","25","男性","","","","",""
"","","","instruction","fullscreen","1","4014","0.0-1.0","2","crgw5ufzfv03","25","男性","true","","","",""
"2225","","{""age"":25}","par_info","survey-text","2","6253","0.0-2.0-0.0","2","crgw5ufzfv03","25","男性","","","","",""
"1395.999999999999","","{""sex"":""男性""}","par_info","survey-multi-choice","3","7650","0.0-2.0-1.0","2","crgw5ufzfv03","25","男性","","[0]","","",""
"622","次のページには，ふだんのあなたの様子について尋ねる文章が表示されます。それぞれについて，どの程度あてはまるかを<br>「あてはまらない」「どちらかと言えばあてはまらない」「どちらかと言えばあてはまる」「あてはまる」<br>の4つの選択肢から1つ選んで回答してください。<br><br>準備ができたらスペースキーを押して回答を開始してください。"," ","instruction","html-keyboard-response","4","8296","0.0-3.0","2","crgw5ufzfv03","25","男性","","","","",""
"23228","","{""Q10"":1,""Q5"":2,""Q17"":3,""Q13"":2,""Q8"":1,""Q14"":0,""Q20"":0,""Q11"":1,""Q15"":2,""Q7"":3,""Q2"":3,""Q9"":2,""Q1"":1,""Q6"":0,""Q19"":0,""Q18"":1,""Q16"":2,""Q3"":3,""Q4"":2,""Q12"":1}","bis_bas","survey-likert","5","31526","0.0-4.0","2","crgw5ufzfv03","25","男性","","[9,4,16,12,7,13,19,10,14,6,1,8,0,5,18,17,15,2,3,11]","","",""
"1420","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","6","32970","0.0-5.0-0.0","2","crgw5ufzfv03","25","男性","","","","",""
"null","","null","","html-keyboard-response","7","33472","0.0-5.0-1.0-0.0","2","crgw5ufzfv03","25","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","8","33973","0.0-5.0-1.0-1.0","2","crgw5ufzfv03","25","男性","","","","",""
"631","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","9","34605","0.0-5.0-1.0-2.0","2","crgw5ufzfv03","25","男性","","","不一致","f","1"
"null","","null","","html-keyboard-response","10","35107","0.0-5.0-1.0-0.1","2","crgw5ufzfv03","25","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","11","35609","0.0-5.0-1.0-1.1","2","crgw5ufzfv03","25","男性","","","","",""
"510.9999999999927","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","12","36120","0.0-5.0-1.0-2.1","2","crgw5ufzfv03","25","男性","","","不一致","f","1"
"null","","null","","html-keyboard-response","13","36621","0.0-5.0-1.0-0.2","2","crgw5ufzfv03","25","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","14","37123","0.0-5.0-1.0-1.2","2","crgw5ufzfv03","25","男性","","","","",""
"391","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","15","37515","0.0-5.0-1.0-2.2","2","crgw5ufzfv03","25","男性","","","一致","j","1"
"null","","null","","html-keyboard-response","16","38016","0.0-5.0-1.0-0.3","2","crgw5ufzfv03","25","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","17","38518","0.0-5.0-1.0-1.3","2","crgw5ufzfv03","25","男性","","","","",""
"452","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","18","38970","0.0-5.0-1.0-2.3","2","crgw5ufzfv03","25","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","19","39471","0.0-5.0-1.0-0.4","2","crgw5ufzfv03","25","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","20","39973","0.0-5.0-1.0-1.4","2","crgw5ufzfv03","25","男性","","","","",""
"391","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","21","40365","0.0-5.0-1.0-2.4","2","crgw5ufzfv03","25","男性","","","一致","f","1"
"null","","null","","html-keyboard-response","22","40867","0.0-5.0-1.0-0.5","2","crgw5ufzfv03","25","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","23","41368","0.0-5.0-1.0-1.5","2","crgw5ufzfv03","25","男性","","","","",""
"437","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","24","41806","0.0-5.0-1.0-2.5","2","crgw5ufzfv03","25","男性","","","中性","j","1"
"null","","null","","html-keyboard-response","25","42307","0.0-5.0-1.0-0.6","2","crgw5ufzfv03","25","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","26","42809","0.0-5.0-1.0-1.6","2","crgw5ufzfv03","25","男性","","","","",""
"375","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","27","43185","0.0-5.0-1.0-2.6","2","crgw5ufzfv03","25","男性","","","中性","f","1"
"null","","null","","html-keyboard-response","28","43686","0.0-5.0-1.0-0.7","2","crgw5ufzfv03","25","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","29","44188","0.0-5.0-1.0-1.7","2","crgw5ufzfv03","25","男性","","","","",""
"496","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","30","44685","0.0-5.0-1.0-2.7","2","crgw5ufzfv03","25","男性","","","不一致","j","1"
"null","","null","","html-keyboard-response","31","45186","0.0-5.0-1.0-0.8","2","crgw5ufzfv03","25","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","32","45688","0.0-5.0-1.0-1.8","2","crgw5ufzfv03","25","男性","","","","",""
"436","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","33","46125","0.0-5.0-1.0-2.8","2","crgw5ufzfv03","25","男性","","","一致","j","1"
"null","","null","","html-keyboard-response","34","46627","0.0-5.0-1.0-0.9","2","crgw5ufzfv03","25","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","35","47128","0.0-5.0-1.0-1.9","2","crgw5ufzfv03","25","男性","","","","",""
"482","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","36","47610","0.0-5.0-1.0-2.9","2","crgw5ufzfv03","25","男性","","","中性","f","1"
