"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"10970.600000023842","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","10975","0.0-0.0","2","hlty0k10us46","19","女性","","","","","",""
"","","","instruction","fullscreen","1","13491","0.0-1.0","2","hlty0k10us46","19","女性","true","","","","",""
"8188.9000000059605","","{""age"":19}","par_info","survey-text","2","21690","0.0-2.0-0.0","2","hlty0k10us46","19","女性","","","","","",""
"1021.3000000119209","","{""sex"":""女性""}","par_info","survey-multi-choice","3","22714","0.0-2.0-1.0","2","hlty0k10us46","19","女性","","[0]","","","",""
"2228.300000011921","次のページには，ふだんのあなたの様子について尋ねる文章が表示されます。それぞれについて，どの程度あてはまるかを<br>「あてはまらない」「どちらかと言えばあてはまらない」「どちらかと言えばあてはまる」「あてはまる」<br>の4つの選択肢から1つ選んで回答してください。<br><br>準備ができたらスペースキーを押して回答を開始してください。"," ","instruction","html-keyboard-response","4","24944","0.0-3.0","2","hlty0k10us46","19","女性","","","","","",""
"51264","","{""Q12"":3,""Q14"":0,""Q4"":3,""Q3"":3,""Q19"":2,""Q8"":3,""Q10"":3,""Q18"":0,""Q7"":3,""Q13"":3,""Q5"":2,""Q1"":0,""Q17"":0,""Q16"":3,""Q2"":2,""Q15"":3,""Q11"":2,""Q9"":3,""Q20"":3,""Q6"":3}","bis_bas","survey-likert","5","76216","0.0-4.0","2","hlty0k10us46","19","女性","","[11,13,3,2,18,7,9,17,6,12,4,0,16,15,1,14,10,8,19,5]","","","",""
"","","","","call-function","6","76218","0.0-5.0-0.0","2","hlty0k10us46","19","女性","","","","","",""
"13437.299999982119","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","7","89656","0.0-5.0-1.0","2","hlty0k10us46","19","女性","","","","","",""
"null","","null","","html-keyboard-response","8","90157","0.0-5.0-2.0-0.0","2","hlty0k10us46","19","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","9","90660","0.0-5.0-2.0-1.0","2","hlty0k10us46","19","女性","","","","","",""
"1235.0999999940395","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","10","91898","0.0-5.0-2.0-2.0","2","hlty0k10us46","19","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","11","92400","0.0-5.0-2.0-0.1","2","hlty0k10us46","19","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","12","92902","0.0-5.0-2.0-1.1","2","hlty0k10us46","19","女性","","","","","",""
"777","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","13","93680","0.0-5.0-2.0-2.1","2","hlty0k10us46","19","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","14","94181","0.0-5.0-2.0-0.2","2","hlty0k10us46","19","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","15","94684","0.0-5.0-2.0-1.2","2","hlty0k10us46","19","女性","","","","","",""
"618.3000000119209","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","16","95305","0.0-5.0-2.0-2.2","2","hlty0k10us46","19","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","17","95808","0.0-5.0-2.0-0.3","2","hlty0k10us46","19","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","18","96310","0.0-5.0-2.0-1.3","2","hlty0k10us46","19","女性","","","","","",""
"410.40000000596046","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","19","96723","0.0-5.0-2.0-2.3","2","hlty0k10us46","19","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","20","97226","0.0-5.0-2.0-0.4","2","hlty0k10us46","19","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","21","97728","0.0-5.0-2.0-1.4","2","hlty0k10us46","19","女性","","","","","",""
"815.4000000059605","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","22","98545","0.0-5.0-2.0-2.4","2","hlty0k10us46","19","女性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","23","99046","0.0-5.0-2.0-0.5","2","hlty0k10us46","19","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","24","99550","0.0-5.0-2.0-1.5","2","hlty0k10us46","19","女性","","","","","",""
"471.7000000178814","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","25","100023","0.0-5.0-2.0-2.5","2","hlty0k10us46","19","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","26","100524","0.0-5.0-2.0-0.6","2","hlty0k10us46","19","女性","","","","","",""
