"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"3392.4000000059605","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","3395","0.0-0.0","1","hqox2d8noa6x","19","男性","","","","","",""
"","","","instruction","fullscreen","1","6838","0.0-1.0","1","hqox2d8noa6x","19","男性","true","","","","",""
"5671.0999999940395","","{""age"":19}","par_info","survey-text","2","12515","0.0-2.0-0.0","1","hqox2d8noa6x","19","男性","","","","","",""
"2226.2999999970198","","{""sex"":""男性""}","par_info","survey-multi-choice","3","14745","0.0-2.0-1.0","1","hqox2d8noa6x","19","男性","","[0]","","","",""
"","","","","call-function","4","14746","0.0-3.0-0.0","1","hqox2d8noa6x","19","男性","","","","","",""
"18012","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","j","instruction","html-keyboard-response","5","32758","0.0-3.0-1.0","1","hqox2d8noa6x","19","男性","","","","","",""
"null","","null","","html-keyboard-response","6","33260","0.0-3.0-2.0-0.0","1","hqox2d8noa6x","19","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","7","33770","0.0-3.0-2.0-1.0","1","hqox2d8noa6x","19","男性","","","","","",""
"1472.5999999940395","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","8","35245","0.0-3.0-2.0-2.0","1","hqox2d8noa6x","19","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","9","35753","0.0-3.0-2.0-0.1","1","hqox2d8noa6x","19","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","10","36260","0.0-3.0-2.0-1.1","1","hqox2d8noa6x","19","男性","","","","","",""
"3305.2000000029802","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","11","39566","0.0-3.0-2.0-2.1","1","hqox2d8noa6x","19","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","12","40067","0.0-3.0-2.0-0.2","1","hqox2d8noa6x","19","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","13","40569","0.0-3.0-2.0-1.2","1","hqox2d8noa6x","19","男性","","","","","",""
"756","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","14","41326","0.0-3.0-2.0-2.2","1","hqox2d8noa6x","19","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","15","41832","0.0-3.0-2.0-0.3","1","hqox2d8noa6x","19","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","16","42343","0.0-3.0-2.0-1.3","1","hqox2d8noa6x","19","男性","","","","","",""
"1069.9000000059605","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","17","43414","0.0-3.0-2.0-2.3","1","hqox2d8noa6x","19","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","18","43915","0.0-3.0-2.0-0.4","1","hqox2d8noa6x","19","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","19","44422","0.0-3.0-2.0-1.4","1","hqox2d8noa6x","19","男性","","","","","",""
"892.5","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","20","45315","0.0-3.0-2.0-2.4","1","hqox2d8noa6x","19","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","21","45818","0.0-3.0-2.0-0.5","1","hqox2d8noa6x","19","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","22","46335","0.0-3.0-2.0-1.5","1","hqox2d8noa6x","19","男性","","","","","",""
