"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"4403.000000000001","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","4406","0.0-0.0","1","k8rglvxs4jpp","24","女性","","","","","",""
"","","","instruction","fullscreen","1","7175","0.0-1.0","1","k8rglvxs4jpp","24","女性","true","","","","",""
"3957","","{""age"":24}","par_info","survey-text","2","11148","0.0-2.0-0.0","1","k8rglvxs4jpp","24","女性","","","","","",""
"2572.000000000002","","{""sex"":""女性""}","par_info","survey-multi-choice","3","13722","0.0-2.0-1.0","1","k8rglvxs4jpp","24","女性","","[0]","","","",""
"","","","","call-function","4","13723","0.0-3.0-0.0","1","k8rglvxs4jpp","24","女性","","","","","",""
"11279","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","5","25003","0.0-3.0-1.0","1","k8rglvxs4jpp","24","女性","","","","","",""
"null","","null","","html-keyboard-response","6","25506","0.0-3.0-2.0-0.0","1","k8rglvxs4jpp","24","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","7","26009","0.0-3.0-2.0-1.0","1","k8rglvxs4jpp","24","女性","","","","","",""
"958.9999999999964","<p style=""font-size: 48px""><<><<</p>","f","flanker_practice","html-keyboard-response","8","26971","0.0-3.0-2.0-2.0","1","k8rglvxs4jpp","24","女性","","","","不一致","j","0"
"null","","null","","html-keyboard-response","9","27475","0.0-3.0-2.0-0.1","1","k8rglvxs4jpp","24","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","10","27978","0.0-3.0-2.0-1.1","1","k8rglvxs4jpp","24","女性","","","","","",""
"701","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","11","28681","0.0-3.0-2.0-2.1","1","k8rglvxs4jpp","24","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","12","29184","0.0-3.0-2.0-0.2","1","k8rglvxs4jpp","24","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","13","29687","0.0-3.0-2.0-1.2","1","k8rglvxs4jpp","24","女性","","","","","",""
"994","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","14","30683","0.0-3.0-2.0-2.2","1","k8rglvxs4jpp","24","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","15","31187","0.0-3.0-2.0-0.3","1","k8rglvxs4jpp","24","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","16","31689","0.0-3.0-2.0-1.3","1","k8rglvxs4jpp","24","女性","","","","","",""
