"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"46166","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","46169","0.0-0.0","1","pe7l2asv0cml","27","女性","","","","","",""
"","","","instruction","fullscreen","1","53284","0.0-1.0","1","pe7l2asv0cml","27","女性","true","","","","",""
"4997","","{""age"":27}","par_info","survey-text","2","58304","0.0-2.0-0.0","1","pe7l2asv0cml","27","女性","","","","","",""
"3014","","{""sex"":""女性""}","par_info","survey-multi-choice","3","61320","0.0-2.0-1.0","1","pe7l2asv0cml","27","女性","","[0]","","","",""
"","","","","call-function","4","61325","0.0-3.0-0.0","1","pe7l2asv0cml","27","女性","","","","","",""
"19828","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","5","81153","0.0-3.0-1.0","1","pe7l2asv0cml","27","女性","","","","","",""
"null","","null","","html-keyboard-response","6","81655","0.0-3.0-2.0-0.0","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","7","82157","0.0-3.0-2.0-1.0","1","pe7l2asv0cml","27","女性","","","","","",""
"895","<p style=""font-size: 48px"">>>>>></p>","f","flanker_practice","html-keyboard-response","8","83054","0.0-3.0-2.0-2.0","1","pe7l2asv0cml","27","女性","","","","一致","j","0"
"null","","null","","html-keyboard-response","9","83556","0.0-3.0-2.0-0.1","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","10","84058","0.0-3.0-2.0-1.1","1","pe7l2asv0cml","27","女性","","","","","",""
"607","<p style=""font-size: 48px"">>>>>></p>","f","flanker_practice","html-keyboard-response","11","84666","0.0-3.0-2.0-2.1","1","pe7l2asv0cml","27","女性","","","","一致","j","0"
"null","","null","","html-keyboard-response","12","85168","0.0-3.0-2.0-0.2","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","13","85670","0.0-3.0-2.0-1.2","1","pe7l2asv0cml","27","女性","","","","","",""
"941.0000000000146","<p style=""font-size: 48px"">-->--</p>","f","flanker_practice","html-keyboard-response","14","86612","0.0-3.0-2.0-2.2","1","pe7l2asv0cml","27","女性","","","","中性","j","0"
"null","","null","","html-keyboard-response","15","87114","0.0-3.0-2.0-0.3","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","16","87616","0.0-3.0-2.0-1.3","1","pe7l2asv0cml","27","女性","","","","","",""
"3215","<p style=""font-size: 48px""><<><<</p>","f","flanker_practice","html-keyboard-response","17","90832","0.0-3.0-2.0-2.3","1","pe7l2asv0cml","27","女性","","","","不一致","j","0"
"null","","null","","html-keyboard-response","18","91334","0.0-3.0-2.0-0.4","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","19","91836","0.0-3.0-2.0-1.4","1","pe7l2asv0cml","27","女性","","","","","",""
"4400.000000000015","<p style=""font-size: 48px"">>><>></p>","j","flanker_practice","html-keyboard-response","20","96237","0.0-3.0-2.0-2.4","1","pe7l2asv0cml","27","女性","","","","不一致","f","0"
"null","","null","","html-keyboard-response","21","96740","0.0-3.0-2.0-0.5","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","22","97242","0.0-3.0-2.0-1.5","1","pe7l2asv0cml","27","女性","","","","","",""
"876.9999999999854","<p style=""font-size: 48px"">-->--</p>","f","flanker_practice","html-keyboard-response","23","98121","0.0-3.0-2.0-2.5","1","pe7l2asv0cml","27","女性","","","","中性","j","0"
"null","","null","","html-keyboard-response","24","98622","0.0-3.0-2.0-0.6","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","25","99125","0.0-3.0-2.0-1.6","1","pe7l2asv0cml","27","女性","","","","","",""
"922","<p style=""font-size: 48px"">--<--</p>","j","flanker_practice","html-keyboard-response","26","100048","0.0-3.0-2.0-2.6","1","pe7l2asv0cml","27","女性","","","","中性","f","0"
"null","","null","","html-keyboard-response","27","100549","0.0-3.0-2.0-0.7","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","28","101051","0.0-3.0-2.0-1.7","1","pe7l2asv0cml","27","女性","","","","","",""
"909","<p style=""font-size: 48px"">--<--</p>","j","flanker_practice","html-keyboard-response","29","101961","0.0-3.0-2.0-2.7","1","pe7l2asv0cml","27","女性","","","","中性","f","0"
"null","","null","","html-keyboard-response","30","102463","0.0-3.0-2.0-0.8","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","31","102965","0.0-3.0-2.0-1.8","1","pe7l2asv0cml","27","女性","","","","","",""
"865","<p style=""font-size: 48px""><<<<<</p>","j","flanker_practice","html-keyboard-response","32","103831","0.0-3.0-2.0-2.8","1","pe7l2asv0cml","27","女性","","","","一致","f","0"
"null","","null","","html-keyboard-response","33","104333","0.0-3.0-2.0-0.9","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","34","104834","0.0-3.0-2.0-1.9","1","pe7l2asv0cml","27","女性","","","","","",""
"893","<p style=""font-size: 48px""><<><<</p>","f","flanker_practice","html-keyboard-response","35","105728","0.0-3.0-2.0-2.9","1","pe7l2asv0cml","27","女性","","","","不一致","j","0"
"null","","null","","html-keyboard-response","36","106229","0.0-3.0-2.0-0.10","1","pe7l2asv0cml","27","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","37","106731","0.0-3.0-2.0-1.10","1","pe7l2asv0cml","27","女性","","","","","",""
"874.0000000000146","<p style=""font-size: 48px""><<<<<</p>","j","flanker_practice","html-keyboard-response","38","107606","0.0-3.0-2.0-2.10","1","pe7l2asv0cml","27","女性","","","","一致","f","0"
"null","","null","","html-keyboard-response","39","108108","0.0-3.0-2.0-0.11","1","pe7l2asv0cml","27","女性","","","","","",""
