"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"5183.300000000279","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","5186","0.0-0.0","1","qf7aafx8dmog","18","男性","","","","","",""
"","","","instruction","fullscreen","1","8822","0.0-1.0","1","qf7aafx8dmog","18","男性","true","","","","",""
"3834.399999999907","","{""age"":18}","par_info","survey-text","2","12660","0.0-2.0-0.0","1","qf7aafx8dmog","18","男性","","","","","",""
"2381.1999999997206","","{""sex"":""男性""}","par_info","survey-multi-choice","3","15043","0.0-2.0-1.0","1","qf7aafx8dmog","18","男性","","[0]","","","",""
"","","","","call-function","4","15044","0.0-3.0-0.0","1","qf7aafx8dmog","18","男性","","","","","",""
"15195.69999999972","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","5","30241","0.0-3.0-1.0","1","qf7aafx8dmog","18","男性","","","","","",""
"null","","null","","html-keyboard-response","6","30750","0.0-3.0-2.0-0.0","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","7","31263","0.0-3.0-2.0-1.0","1","qf7aafx8dmog","18","男性","","","","","",""
"1275","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","8","32544","0.0-3.0-2.0-2.0","1","qf7aafx8dmog","18","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","9","33061","0.0-3.0-2.0-0.1","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","10","33574","0.0-3.0-2.0-1.1","1","qf7aafx8dmog","18","男性","","","","","",""
"637.5","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","11","34214","0.0-3.0-2.0-2.1","1","qf7aafx8dmog","18","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","12","34724","0.0-3.0-2.0-0.2","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","13","35237","0.0-3.0-2.0-1.2","1","qf7aafx8dmog","18","男性","","","","","",""
"2031","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","14","37270","0.0-3.0-2.0-2.2","1","qf7aafx8dmog","18","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","15","37776","0.0-3.0-2.0-0.3","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","16","38278","0.0-3.0-2.0-1.3","1","qf7aafx8dmog","18","男性","","","","","",""
"851.1000000000931","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","17","39132","0.0-3.0-2.0-2.3","1","qf7aafx8dmog","18","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","18","39641","0.0-3.0-2.0-0.4","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","19","40144","0.0-3.0-2.0-1.4","1","qf7aafx8dmog","18","男性","","","","","",""
"489.5","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","20","40635","0.0-3.0-2.0-2.4","1","qf7aafx8dmog","18","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","21","41141","0.0-3.0-2.0-0.5","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","22","41644","0.0-3.0-2.0-1.5","1","qf7aafx8dmog","18","男性","","","","","",""
"809.2999999998137","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","23","42455","0.0-3.0-2.0-2.5","1","qf7aafx8dmog","18","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","24","42959","0.0-3.0-2.0-0.6","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","25","43471","0.0-3.0-2.0-1.6","1","qf7aafx8dmog","18","男性","","","","","",""
"841.1000000000931","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","26","44314","0.0-3.0-2.0-2.6","1","qf7aafx8dmog","18","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","27","44823","0.0-3.0-2.0-0.7","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","28","45326","0.0-3.0-2.0-1.7","1","qf7aafx8dmog","18","男性","","","","","",""
"658.4000000003725","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","29","45986","0.0-3.0-2.0-2.7","1","qf7aafx8dmog","18","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","30","46494","0.0-3.0-2.0-0.8","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","31","47010","0.0-3.0-2.0-1.8","1","qf7aafx8dmog","18","男性","","","","","",""
"480.70000000018626","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","32","47493","0.0-3.0-2.0-2.8","1","qf7aafx8dmog","18","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","33","47995","0.0-3.0-2.0-0.9","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","34","48498","0.0-3.0-2.0-1.9","1","qf7aafx8dmog","18","男性","","","","","",""
"449.79999999981374","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","35","48950","0.0-3.0-2.0-2.9","1","qf7aafx8dmog","18","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","36","49459","0.0-3.0-2.0-0.10","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","37","49962","0.0-3.0-2.0-1.10","1","qf7aafx8dmog","18","男性","","","","","",""
"553.6999999997206","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","38","50517","0.0-3.0-2.0-2.10","1","qf7aafx8dmog","18","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","39","51025","0.0-3.0-2.0-0.11","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","40","51530","0.0-3.0-2.0-1.11","1","qf7aafx8dmog","18","男性","","","","","",""
"857.8999999999069","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","41","52390","0.0-3.0-2.0-2.11","1","qf7aafx8dmog","18","男性","","","","不一致","f","1"
"2690","それでは本番を行います。<br>準備ができたら「f」キーか「j」キーを押して課題を開始してください。","f","instruction","html-keyboard-response","42","55082","0.0-3.0-3.0","1","qf7aafx8dmog","18","男性","","","","","",""
"null","","null","","html-keyboard-response","43","55596","0.0-3.0-4.0-0.0","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","44","56113","0.0-3.0-4.0-1.0","1","qf7aafx8dmog","18","男性","","","","","",""
"466.5","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","45","56584","0.0-3.0-4.0-2.0","1","qf7aafx8dmog","18","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","46","57100","0.0-3.0-4.0-0.1","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","47","57613","0.0-3.0-4.0-1.1","1","qf7aafx8dmog","18","男性","","","","","",""
"570.7000000001863","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","48","58186","0.0-3.0-4.0-2.1","1","qf7aafx8dmog","18","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","49","58696","0.0-3.0-4.0-0.2","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","50","59213","0.0-3.0-4.0-1.2","1","qf7aafx8dmog","18","男性","","","","","",""
"412.89999999990687","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","51","59628","0.0-3.0-4.0-2.2","1","qf7aafx8dmog","18","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","52","60132","0.0-3.0-4.0-0.3","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","53","60635","0.0-3.0-4.0-1.3","1","qf7aafx8dmog","18","男性","","","","","",""
"446.79999999981374","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","54","61083","0.0-3.0-4.0-2.3","1","qf7aafx8dmog","18","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","55","61597","0.0-3.0-4.0-0.4","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","56","62100","0.0-3.0-4.0-1.4","1","qf7aafx8dmog","18","男性","","","","","",""
"688.3999999999069","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","57","62790","0.0-3.0-4.0-2.4","1","qf7aafx8dmog","18","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","58","63298","0.0-3.0-4.0-0.5","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","59","63815","0.0-3.0-4.0-1.5","1","qf7aafx8dmog","18","男性","","","","","",""
"320.70000000018626","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","60","64137","0.0-3.0-4.0-2.5","1","qf7aafx8dmog","18","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","61","64648","0.0-3.0-4.0-0.6","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","62","65159","0.0-3.0-4.0-1.6","1","qf7aafx8dmog","18","男性","","","","","",""
"644.8000000002794","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","63","65804","0.0-3.0-4.0-2.6","1","qf7aafx8dmog","18","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","64","66320","0.0-3.0-4.0-0.7","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","65","66834","0.0-3.0-4.0-1.7","1","qf7aafx8dmog","18","男性","","","","","",""
"367.40000000037253","<p style=""font-size: 48px"">--<--</p>","j","flanker_main","html-keyboard-response","66","67203","0.0-3.0-4.0-2.7","1","qf7aafx8dmog","18","男性","","","","中性","f","0"
"null","","null","","html-keyboard-response","67","67717","0.0-3.0-4.0-0.8","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","68","68232","0.0-3.0-4.0-1.8","1","qf7aafx8dmog","18","男性","","","","","",""
"752.1000000000931","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","69","68986","0.0-3.0-4.0-2.8","1","qf7aafx8dmog","18","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","70","69501","0.0-3.0-4.0-0.9","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","71","70017","0.0-3.0-4.0-1.9","1","qf7aafx8dmog","18","男性","","","","","",""
"518.8000000002794","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","72","70538","0.0-3.0-4.0-2.9","1","qf7aafx8dmog","18","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","73","71050","0.0-3.0-4.0-0.10","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","74","71567","0.0-3.0-4.0-1.10","1","qf7aafx8dmog","18","男性","","","","","",""
"606.6000000000931","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","75","72176","0.0-3.0-4.0-2.10","1","qf7aafx8dmog","18","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","76","72683","0.0-3.0-4.0-0.11","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","77","73197","0.0-3.0-4.0-1.11","1","qf7aafx8dmog","18","男性","","","","","",""
"371.6999999997206","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","78","73570","0.0-3.0-4.0-2.11","1","qf7aafx8dmog","18","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","79","74083","0.0-3.0-4.0-0.12","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","80","74601","0.0-3.0-4.0-1.12","1","qf7aafx8dmog","18","男性","","","","","",""
"379.10000000009313","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","81","74982","0.0-3.0-4.0-2.12","1","qf7aafx8dmog","18","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","82","75493","0.0-3.0-4.0-0.13","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","83","76000","0.0-3.0-4.0-1.13","1","qf7aafx8dmog","18","男性","","","","","",""
"439.39999999990687","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","84","76441","0.0-3.0-4.0-2.13","1","qf7aafx8dmog","18","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","85","76956","0.0-3.0-4.0-0.14","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","86","77462","0.0-3.0-4.0-1.14","1","qf7aafx8dmog","18","男性","","","","","",""
"362.89999999990687","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","87","77827","0.0-3.0-4.0-2.14","1","qf7aafx8dmog","18","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","88","78334","0.0-3.0-4.0-0.15","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","89","78851","0.0-3.0-4.0-1.15","1","qf7aafx8dmog","18","男性","","","","","",""
"416.20000000018626","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","90","79269","0.0-3.0-4.0-2.15","1","qf7aafx8dmog","18","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","91","79779","0.0-3.0-4.0-0.16","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","92","80288","0.0-3.0-4.0-1.16","1","qf7aafx8dmog","18","男性","","","","","",""
"379.5","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","93","80671","0.0-3.0-4.0-2.16","1","qf7aafx8dmog","18","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","94","81185","0.0-3.0-4.0-0.17","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","95","81686","0.0-3.0-4.0-1.17","1","qf7aafx8dmog","18","男性","","","","","",""
"515.5","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","96","82202","0.0-3.0-4.0-2.17","1","qf7aafx8dmog","18","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","97","82704","0.0-3.0-4.0-0.18","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","98","83218","0.0-3.0-4.0-1.18","1","qf7aafx8dmog","18","男性","","","","","",""
"495.29999999981374","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","99","83716","0.0-3.0-4.0-2.18","1","qf7aafx8dmog","18","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","100","84224","0.0-3.0-4.0-0.19","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","101","84737","0.0-3.0-4.0-1.19","1","qf7aafx8dmog","18","男性","","","","","",""
"501.39999999990687","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","102","85240","0.0-3.0-4.0-2.19","1","qf7aafx8dmog","18","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","103","85752","0.0-3.0-4.0-0.20","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","104","86254","0.0-3.0-4.0-1.20","1","qf7aafx8dmog","18","男性","","","","","",""
"658.6999999997206","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","105","86914","0.0-3.0-4.0-2.20","1","qf7aafx8dmog","18","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","106","87423","0.0-3.0-4.0-0.21","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","107","87936","0.0-3.0-4.0-1.21","1","qf7aafx8dmog","18","男性","","","","","",""
"444.29999999981374","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","108","88382","0.0-3.0-4.0-2.21","1","qf7aafx8dmog","18","男性","","","","一致","f","1"
"null","","null","","html-keyboard-response","109","88887","0.0-3.0-4.0-0.22","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","110","89395","0.0-3.0-4.0-1.22","1","qf7aafx8dmog","18","男性","","","","","",""
"525.7999999998137","<p style=""font-size: 48px"">>>>>></p>","j","flanker_main","html-keyboard-response","111","89923","0.0-3.0-4.0-2.22","1","qf7aafx8dmog","18","男性","","","","一致","j","1"
"null","","null","","html-keyboard-response","112","90434","0.0-3.0-4.0-0.23","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","113","90950","0.0-3.0-4.0-1.23","1","qf7aafx8dmog","18","男性","","","","","",""
"380.10000000009313","<p style=""font-size: 48px"">-->--</p>","j","flanker_main","html-keyboard-response","114","91331","0.0-3.0-4.0-2.23","1","qf7aafx8dmog","18","男性","","","","中性","j","1"
"null","","null","","html-keyboard-response","115","91838","0.0-3.0-4.0-0.24","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","116","92355","0.0-3.0-4.0-1.24","1","qf7aafx8dmog","18","男性","","","","","",""
"529.7000000001863","<p style=""font-size: 48px"">>><>></p>","f","flanker_main","html-keyboard-response","117","92887","0.0-3.0-4.0-2.24","1","qf7aafx8dmog","18","男性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","118","93389","0.0-3.0-4.0-0.25","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","119","93900","0.0-3.0-4.0-1.25","1","qf7aafx8dmog","18","男性","","","","","",""
"502.5","<p style=""font-size: 48px""><<><<</p>","j","flanker_main","html-keyboard-response","120","94405","0.0-3.0-4.0-2.25","1","qf7aafx8dmog","18","男性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","121","94921","0.0-3.0-4.0-0.26","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","122","95424","0.0-3.0-4.0-1.26","1","qf7aafx8dmog","18","男性","","","","","",""
"438.3000000002794","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","123","95864","0.0-3.0-4.0-2.26","1","qf7aafx8dmog","18","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","124","96373","0.0-3.0-4.0-0.27","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","125","96891","0.0-3.0-4.0-1.27","1","qf7aafx8dmog","18","男性","","","","","",""
"448.8000000002794","<p style=""font-size: 48px"">--<--</p>","f","flanker_main","html-keyboard-response","126","97341","0.0-3.0-4.0-2.27","1","qf7aafx8dmog","18","男性","","","","中性","f","1"
"null","","null","","html-keyboard-response","127","97856","0.0-3.0-4.0-0.28","1","qf7aafx8dmog","18","男性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","128","98373","0.0-3.0-4.0-1.28","1","qf7aafx8dmog","18","男性","","","","","",""
