"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","value","condition","key","correct"
"1199","これから実験をおこないます（10分程度）。<br>実験の最初に年齢と性別の入力が求められますが，回答に関係なくランダムなデータが保存されます。<br>授業のデモということで個人の特定可能性が高いことを考慮し，このような措置をとりました。<br>フランカー課題と質問紙はご自身の遂行成績・点数が保存されます。<br>収集したデータは分析のデモに使用します。個人が特定されることはないですし，<br>リアルなデータの方が練習にもなるはずなので，これらの課題は真剣に取り組んでもらえれば幸いです。"," ","instruction","html-keyboard-response","0","1206","0.0-0.0","1","r7xd90coxcql","22","女性","","","","","",""
"","","","instruction","fullscreen","1","3535","0.0-1.0","1","r7xd90coxcql","22","女性","true","","","","",""
"2050","","{""age"":22}","par_info","survey-text","2","5594","0.0-2.0-0.0","1","r7xd90coxcql","22","女性","","","","","",""
"1786","","{""sex"":""女性""}","par_info","survey-multi-choice","3","7386","0.0-2.0-1.0","1","r7xd90coxcql","22","女性","","[0]","","","",""
"","","","","call-function","4","7390","0.0-3.0-0.0","1","r7xd90coxcql","22","女性","","","","","",""
"9692","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","j","instruction","html-keyboard-response","5","17085","0.0-3.0-1.0","1","r7xd90coxcql","22","女性","","","","","",""
"null","","null","","html-keyboard-response","6","17600","0.0-3.0-2.0-0.0","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","7","18109","0.0-3.0-2.0-1.0","1","r7xd90coxcql","22","女性","","","","","",""
"775","<p style=""font-size: 48px"">-->--</p>","f","flanker_practice","html-keyboard-response","8","18888","0.0-3.0-2.0-2.0","1","r7xd90coxcql","22","女性","","","","中性","j","0"
"null","","null","","html-keyboard-response","9","19401","0.0-3.0-2.0-0.1","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","10","19904","0.0-3.0-2.0-1.1","1","r7xd90coxcql","22","女性","","","","","",""
"627","<p style=""font-size: 48px""><<><<</p>","f","flanker_practice","html-keyboard-response","11","20533","0.0-3.0-2.0-2.1","1","r7xd90coxcql","22","女性","","","","不一致","j","0"
"null","","null","","html-keyboard-response","12","21048","0.0-3.0-2.0-0.2","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","13","21560","0.0-3.0-2.0-1.2","1","r7xd90coxcql","22","女性","","","","","",""
"473","<p style=""font-size: 48px"">--<--</p>","j","flanker_practice","html-keyboard-response","14","22034","0.0-3.0-2.0-2.2","1","r7xd90coxcql","22","女性","","","","中性","f","0"
"null","","null","","html-keyboard-response","15","22538","0.0-3.0-2.0-0.3","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","16","23054","0.0-3.0-2.0-1.3","1","r7xd90coxcql","22","女性","","","","","",""
"538","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","17","23594","0.0-3.0-2.0-2.3","1","r7xd90coxcql","22","女性","","","","不一致","j","1"
"null","","null","","html-keyboard-response","18","24110","0.0-3.0-2.0-0.4","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","19","24613","0.0-3.0-2.0-1.4","1","r7xd90coxcql","22","女性","","","","","",""
"650","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","20","25264","0.0-3.0-2.0-2.4","1","r7xd90coxcql","22","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","21","25776","0.0-3.0-2.0-0.5","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","22","26288","0.0-3.0-2.0-1.5","1","r7xd90coxcql","22","女性","","","","","",""
"744","<p style=""font-size: 48px"">>>>>></p>","j","flanker_practice","html-keyboard-response","23","27034","0.0-3.0-2.0-2.5","1","r7xd90coxcql","22","女性","","","","一致","j","1"
"null","","null","","html-keyboard-response","24","27550","0.0-3.0-2.0-0.6","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","25","28054","0.0-3.0-2.0-1.6","1","r7xd90coxcql","22","女性","","","","","",""
"468","<p style=""font-size: 48px"">--<--</p>","f","flanker_practice","html-keyboard-response","26","28523","0.0-3.0-2.0-2.6","1","r7xd90coxcql","22","女性","","","","中性","f","1"
"null","","null","","html-keyboard-response","27","29039","0.0-3.0-2.0-0.7","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","28","29543","0.0-3.0-2.0-1.7","1","r7xd90coxcql","22","女性","","","","","",""
"460","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","29","30006","0.0-3.0-2.0-2.7","1","r7xd90coxcql","22","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","30","30508","0.0-3.0-2.0-0.8","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","31","31025","0.0-3.0-2.0-1.8","1","r7xd90coxcql","22","女性","","","","","",""
"488","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","32","31513","0.0-3.0-2.0-2.8","1","r7xd90coxcql","22","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","33","32029","0.0-3.0-2.0-0.9","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","34","32539","0.0-3.0-2.0-1.9","1","r7xd90coxcql","22","女性","","","","","",""
"565","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","35","33106","0.0-3.0-2.0-2.9","1","r7xd90coxcql","22","女性","","","","不一致","f","1"
"null","","null","","html-keyboard-response","36","33613","0.0-3.0-2.0-0.10","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","37","34129","0.0-3.0-2.0-1.10","1","r7xd90coxcql","22","女性","","","","","",""
"416","<p style=""font-size: 48px"">-->--</p>","j","flanker_practice","html-keyboard-response","38","34545","0.0-3.0-2.0-2.10","1","r7xd90coxcql","22","女性","","","","中性","j","1"
"null","","null","","html-keyboard-response","39","35049","0.0-3.0-2.0-0.11","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","40","35554","0.0-3.0-2.0-1.11","1","r7xd90coxcql","22","女性","","","","","",""
"489","<p style=""font-size: 48px"">>><>></p>","f","flanker_practice","html-keyboard-response","41","36044","0.0-3.0-2.0-2.11","1","r7xd90coxcql","22","女性","","","","不一致","f","1"
"1930","それでは本番を行います。<br>準備ができたら「f」キーか「j」キーを押して課題を開始してください。","f","instruction","html-keyboard-response","42","37975","0.0-3.0-3.0","1","r7xd90coxcql","22","女性","","","","","",""
"null","","null","","html-keyboard-response","43","38489","0.0-3.0-4.0-0.0","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","44","39004","0.0-3.0-4.0-1.0","1","r7xd90coxcql","22","女性","","","","","",""
"469","<p style=""font-size: 48px""><<<<<</p>","f","flanker_main","html-keyboard-response","45","39475","0.0-3.0-4.0-2.0","1","r7xd90coxcql","22","女性","","","","一致","f","1"
"null","","null","","html-keyboard-response","46","39983","0.0-3.0-4.0-0.1","1","r7xd90coxcql","22","女性","","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","47","40499","0.0-3.0-4.0-1.1","1","r7xd90coxcql","22","女性","","","","","",""
