"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","condition","key","correct"
"1837","これから実験をおこないます。"," ","instruction","html-keyboard-response","0","1839","0.0-0.0","1","vt567bbuv005"," ","女性","","","","",""
"","","","instruction","fullscreen","1","5829","0.0-1.0","1","vt567bbuv005"," ","女性","true","","","",""
"2920","","{""age"":"" ""}","par_info","survey-text","2","8771","0.0-2.0-0.0","1","vt567bbuv005"," ","女性","","","","",""
"1536","","{""sex"":""女性""}","par_info","survey-multi-choice","3","10308","0.0-2.0-1.0","1","vt567bbuv005"," ","女性","","[0]","","",""
"1299","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","4","11629","0.0-3.0-0.0","1","vt567bbuv005"," ","女性","","","","",""
"null","","null","","html-keyboard-response","5","12131","0.0-3.0-1.0-0.0","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","6","12633","0.0-3.0-1.0-1.0","1","vt567bbuv005"," ","女性","","","","",""
"542","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","7","13177","0.0-3.0-1.0-2.0","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","8","13679","0.0-3.0-1.0-0.1","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","9","14181","0.0-3.0-1.0-1.1","1","vt567bbuv005"," ","女性","","","","",""
"434","<p style=""font-size: 48px"">--<--</p>","f","flanker","html-keyboard-response","10","14620","0.0-3.0-1.0-2.1","1","vt567bbuv005"," ","女性","","","中性","f","1"
"null","","null","","html-keyboard-response","11","15122","0.0-3.0-1.0-0.2","1","vt567bbuv005"," ","女性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","12","15623","0.0-3.0-1.0-1.2","1","vt567bbuv005"," ","女性","","","","",""
"399","<p style=""font-size: 48px"">-->--</p>","j","flanker","html-keyboard-response","13","16023","0.0-3.0-1.0-2.2","1","vt567bbuv005"," ","女性","","","中性","j","1"
"null","","null","","html-keyboard-response","14","16525","0.0-3.0-1.0-0.3","1","vt567bbuv005"," ","女性","","","","",""
