"rt","stimulus","response","task","trial_type","trial_index","time_elapsed","internal_node_id","CB","tempID","age","sex","success","question_order","condition","key","correct"
"873.0000000000005","これから実験をおこないます。<br>実験の最初に年齢と性別の入力が求められますが，今回はランダムな回答をしてください。<br>（ただし，質問紙には真面目に回答してほしいです）。<br>授業でのデモのため，正しい情報を入力した場合，個人の特定が容易です。それを避けるためにランダムな入力をお願いします。<br>収集したデータは受講生に共有もするので，一層そのように対応してもらいたいです。"," ","instruction","html-keyboard-response","0","878","0.0-0.0","1","znwdv9nnzm7j","d","男性","","","","",""
"","","","instruction","fullscreen","1","3774","0.0-1.0","1","znwdv9nnzm7j","d","男性","true","","","",""
"2542","","{""age"":""d""}","par_info","survey-text","2","6332","0.0-2.0-0.0","1","znwdv9nnzm7j","d","男性","","","","",""
"2037","","{""sex"":""男性""}","par_info","survey-multi-choice","3","8371","0.0-2.0-1.0","1","znwdv9nnzm7j","d","男性","","[0]","","",""
"2280","これから画面上に５つの矢印（>>>>>など）が表示されます。<br>中央の矢印が左向き（<）なら「f」キーを<br>中央の矢印が右向き（>）なら「j」キーを<br>なるべく早く，正確に押してください<br><br>準備ができたら「f」キーか「j」キーを押して練習を開始してください。","f","instruction","html-keyboard-response","4","10672","0.0-3.0-0.0","1","znwdv9nnzm7j","d","男性","","","","",""
"null","","null","","html-keyboard-response","5","11174","0.0-3.0-1.0-0.0","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","6","11676","0.0-3.0-1.0-1.0","1","znwdv9nnzm7j","d","男性","","","","",""
"513","<p style=""font-size: 48px"">>>>>></p>","f","flanker_practice","html-keyboard-response","7","12192","0.0-3.0-1.0-2.0","1","znwdv9nnzm7j","d","男性","","","一致","j","0"
"null","","null","","html-keyboard-response","8","12694","0.0-3.0-1.0-0.1","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","9","13196","0.0-3.0-1.0-1.1","1","znwdv9nnzm7j","d","男性","","","","",""
"662","<p style=""font-size: 48px""><<><<</p>","j","flanker_practice","html-keyboard-response","10","13859","0.0-3.0-1.0-2.1","1","znwdv9nnzm7j","d","男性","","","不一致","j","1"
"null","","null","","html-keyboard-response","11","14361","0.0-3.0-1.0-0.2","1","znwdv9nnzm7j","d","男性","","","","",""
"null","<p style=""font-size: 48px"">+</p>","null","","html-keyboard-response","12","14863","0.0-3.0-1.0-1.2","1","znwdv9nnzm7j","d","男性","","","","",""
"530","<p style=""font-size: 48px""><<<<<</p>","f","flanker_practice","html-keyboard-response","13","15395","0.0-3.0-1.0-2.2","1","znwdv9nnzm7j","d","男性","","","一致","f","1"
